"Date","Price","Open","High","Low","Change %"
"01/22/2018","0.400","0.400","0.400","0.400","0.25%"
"01/19/2018","0.399","0.399","0.399","0.399","0.00%"
"01/18/2018","0.399","0.399","0.399","0.399","0.20%"
"01/17/2018","0.398","0.398","0.398","0.398","-0.95%"
"01/16/2018","0.402","0.402","0.402","0.402","1.52%"
"01/15/2018","0.396","0.396","0.396","0.396","-0.75%"
"01/12/2018","0.399","0.399","0.399","0.399","-0.99%"
"01/11/2018","0.403","0.403","0.403","0.403","1.26%"
"01/10/2018","0.398","0.398","0.398","0.398","-1.00%"
"01/09/2018","0.402","0.402","0.402","0.402","-0.25%"
"01/08/2018","0.403","0.403","0.403","0.403","0.25%"
"01/05/2018","0.402","0.402","0.402","0.402","20.36%"
"01/04/2018","0.334","0.334","0.334","0.334","0.00%"
"01/03/2018","0.334","0.334","0.334","0.334","-1.47%"
"01/02/2018","0.339","0.339","0.339","0.339","0.00%"
"01/01/2018","0.339","0.339","0.339","0.339","-0.29%"
"12/29/2017","0.340","0.340","0.340","0.340","-4.76%"
"12/28/2017","0.357","0.357","0.357","0.357","6.89%"
"12/27/2017","0.334","0.334","0.334","0.334","0.00%"
"12/25/2017","0.334","0.334","0.334","0.334","-0.60%"
"12/22/2017","0.336","0.336","0.336","0.336","-4.82%"
"12/21/2017","0.353","0.353","0.353","0.353","0.00%"
"12/20/2017","0.353","0.353","0.353","0.353","0.00%"
"12/19/2017","0.353","0.353","0.353","0.353","0.28%"
"12/18/2017","0.352","0.352","0.352","0.352","-1.40%"
"12/16/2017","0.357","0.357","0.357","0.357","0.00%"
"12/15/2017","0.357","0.357","0.357","0.357","19.40%"
"12/14/2017","0.299","0.299","0.299","0.299","-0.33%"
"12/13/2017","0.300","0.300","0.300","0.300","0.00%"
"12/12/2017","0.300","0.300","0.300","0.300","-11.50%"
"12/11/2017","0.339","0.339","0.339","0.339","-10.32%"
"12/08/2017","0.378","0.378","0.378","0.378","0.00%"
"12/07/2017","0.378","0.378","0.378","0.378","-1.05%"
"12/06/2017","0.382","0.382","0.382","0.382","0.00%"
"12/05/2017","0.382","0.382","0.382","0.382","2.14%"
"12/04/2017","0.374","0.374","0.374","0.374","-1.06%"
